,E_program,Ecell,iw,t
0,0.0,0.000594923780194101,2.6606852182844977e-07,0.0
1,0.0,0.000594923780194101,-6.278673630098764e-08,0.0002777777777777778
2,0.0,0.00026606852182844976,-6.278673630098764e-08,0.0005555555555555556
3,0.0,0.00026606852182844976,2.6606852182844977e-07,0.0008333333333333334
4,0.0,0.00026606852182844976,-3.916419941942667e-07,0.0011111111111111111
5,0.0,0.000594923780194101,-7.20497251851332e-07,0.001388888888888889
6,0.0,0.0009237790387959244,2.6606852182844977e-07,0.0016666666666666668
7,0.0,0.000594923780194101,-3.916419941942667e-07,0.0019444444444444444
8,0.0,0.0009237790387959244,2.6606852182844977e-07,0.0022222222222222222
9,0.0,0.0009237790387959244,-6.278673630098764e-08,0.0025
10,0.0,-6.278673630098763e-05,-6.278673630098764e-08,0.002777777777777778
11,0.0,0.00026606852182844976,-3.916419941942667e-07,0.0030555555555555557
12,0.0,0.0009237790387959244,-6.278673630098764e-08,0.0033333333333333335
13,0.0,0.0009237790387959244,2.6606852182844977e-07,0.003611111111111111
14,0.0,0.0009237790387959244,-3.916419941942667e-07,0.0038888888888888888
15,0.0,0.000594923780194101,-6.278673630098764e-08,0.004166666666666667
16,0.0,0.00026606852182844976,2.6606852182844977e-07,0.0044444444444444444
17,0.0,0.000594923780194101,-3.916419941942667e-07,0.004722222222222222
18,0.0,0.0009237790387959244,-3.916419941942667e-07,0.005
19,0.0,0.000594923780194101,-6.278673630098764e-08,0.005277777777777778
20,0.0,0.0009237790387959244,5.94923780194101e-07,0.005555555555555556
21,0.0,0.00026606852182844976,2.6606852182844977e-07,0.005833333333333334
22,0.0,0.000594923780194101,-3.916419941942667e-07,0.006111111111111111
23,0.0,0.000594923780194101,-6.278673630098764e-08,0.006388888888888889
24,0.0,0.000594923780194101,-6.278673630098764e-08,0.006666666666666667
25,0.0,0.00026606852182844976,-3.916419941942667e-07,0.006944444444444444
26,0.0,0.000594923780194101,-3.916419941942667e-07,0.007222222222222222
27,0.0,0.0009237790387959244,2.6606852182844977e-07,0.0075
28,0.0,0.00026606852182844976,2.6606852182844977e-07,0.0077777777777777776
29,0.0,0.0012526342976339339,2.6606852182844977e-07,0.008055555555555555
30,0.0,0.000594923780194101,-6.278673630098764e-08,0.008333333333333333
31,0.0,0.0009237790387959244,-7.20497251851332e-07,0.008611111111111111
32,0.0,0.0009237790387959244,-6.278673630098764e-08,0.008888888888888889
33,0.0,0.0009237790387959244,2.6606852182844977e-07,0.009166666666666667
34,0.0,0.0009237790387959244,-3.916419941942667e-07,0.009444444444444445
35,0.0,0.00026606852182844976,-3.916419941942667e-07,0.009722222222222222
36,0.0,0.0009237790387959244,-3.916419941942667e-07,0.01
37,0.0,0.000594923780194101,2.6606852182844977e-07,0.010277777777777778
38,0.0,0.0009237790387959244,-7.20497251851332e-07,0.010555555555555556
39,0.0,0.00026606852182844976,2.6606852182844977e-07,0.010833333333333334
40,0.0,0.0009237790387959244,2.6606852182844977e-07,0.011111111111111112
41,0.0,0.00026606852182844976,-3.916419941942667e-07,0.01138888888888889
42,0.0,0.00026606852182844976,2.6606852182844977e-07,0.011666666666666667
43,0.0,0.000594923780194101,-3.916419941942667e-07,0.011944444444444445
44,0.0,-6.278673630098763e-05,2.6606852182844977e-07,0.012222222222222223
45,0.0,0.000594923780194101,-3.916419941942667e-07,0.0125
46,0.0,0.0009237790387959244,2.6606852182844977e-07,0.012777777777777779
47,0.0,0.0009237790387959244,2.6606852182844977e-07,0.013055555555555556
48,0.0,0.0009237790387959244,-7.20497251851332e-07,0.013333333333333334
49,0.0,0.000594923780194101,2.6606852182844977e-07,0.01361111111111111
50,0.0,0.000594923780194101,-3.916419941942667e-07,0.013888888888888888
51,0.0,0.000594923780194101,-6.278673630098764e-08,0.014166666666666666
52,0.0,0.000594923780194101,2.6606852182844977e-07,0.014444444444444444
53,0.0,0.0012526342976339339,-3.916419941942667e-07,0.014722222222222222
54,0.0,0.0009237790387959244,-6.278673630098764e-08,0.015
55,0.0,0.0012526342976339339,-6.278673630098764e-08,0.015277777777777777
56,0.0,0.00026606852182844976,-6.278673630098764e-08,0.015555555555555555
57,0.0,0.0009237790387959244,2.6606852182844977e-07,0.015833333333333335
58,0.0,0.0009237790387959244,-6.278673630098764e-08,0.01611111111111111
59,0.0,0.0012526342976339339,5.94923780194101e-07,0.01638888888888889
60,0.0,0.00026606852182844976,2.6606852182844977e-07,0.016666666666666666
61,0.0,-6.278673630098763e-05,-6.278673630098764e-08,0.016944444444444446
62,0.0,0.00026606852182844976,-3.916419941942667e-07,0.017222222222222222
63,0.0,0.0009237790387959244,2.6606852182844977e-07,0.0175
64,0.0,0.0009237790387959244,-3.916419941942667e-07,0.017777777777777778
65,0.0,0.0012526342976339339,5.94923780194101e-07,0.018055555555555554
66,0.0,0.00026606852182844976,-3.916419941942667e-07,0.018333333333333333
67,0.0,0.000594923780194101,-6.278673630098764e-08,0.01861111111111111
68,0.0,0.000594923780194101,2.6606852182844977e-07,0.01888888888888889
69,0.0,0.000594923780194101,2.6606852182844977e-07,0.019166666666666665
70,0.0,0.0009237790387959244,2.6606852182844977e-07,0.019444444444444445
71,0.0,0.00026606852182844976,-3.916419941942667e-07,0.01972222222222222
72,0.0,0.0009237790387959244,-3.916419941942667e-07,0.02
73,0.0,0.000594923780194101,-3.916419941942667e-07,0.020277777777777777
74,0.0,0.000594923780194101,2.6606852182844977e-07,0.020555555555555556
75,0.0,0.0009237790387959244,-3.916419941942667e-07,0.020833333333333332
